meal_name,ingredients,calories_per_serving,carbs,proteins,fats,diet_type,meal_time,serving_size,region,cost_per_serving_in_inr
Rajma Chawal,"Kidney Beans, Rice, Tomato, Onion, Garlic, Spices",385,60,12,8,Vegetarian,,1 medium plate,Punjabi,40
Chole Bhature,"Chickpeas, Refined Flour, Spices, Onion",450,55,15,18,Vegetarian,,1 plate,Punjabi,50
Aloo Paratha,"Wheat Flour, Potato, Spices, Butter",290,35,6,12,Vegetarian,,1 paratha,Punjabi,25
Palak Paneer,"Spinach, Paneer, Onion, Tomato, Spices",300,14,16,18,Vegetarian,,1 bowl,Punjabi,45
Butter Chicken,"Chicken, Butter, Cream, Tomato, Spices",490,18,28,32,Non-Vegetarian,dinner,1 bowl,Punjabi,80
Baingan Bharta,"Eggplant, Onion, Tomato, Spices",180,15,4,10,Vegetarian,,1 bowl,Punjabi,20
Dal Makhani,"Black Lentils, Cream, Butter, Spices",320,26,14,18,Vegetarian,,1 bowl,Punjabi,35
Paneer Butter Masala,"Paneer, Tomato, Cream, Spices",400,20,14,30,Vegetarian,,1 bowl,Punjabi,60
Kadhi Pakora,"Besan, Curd, Spices, Onion",260,20,8,16,Vegetarian,,1 bowl,Punjabi,30
Pav Bhaji,"Potato, Mixed Vegetables, Butter, Pav",420,45,9,20,Vegetarian,,1 plate,North Indian,40
Litti Chokha,"Wheat Flour, Sattu, Brinjal, Potato, Tomato",360,50,10,12,Vegetarian,,3 littis with chokha,Bihari,25
Samosa,"Refined Flour, Potato, Peas, Spices",150,20,3,8,Vegetarian,breakfast/snacks,1 piece,North Indian,10
Puri Sabzi,"Wheat Flour, Potato, Spices",330,40,5,15,Vegetarian,,4 puris + sabzi,North Indian,35
Kachori Aloo,"Refined Flour, Urad Dal, Potato, Spices",400,45,6,22,Vegetarian,,2 kachori + sabzi,UP/Bihari,30
Chicken Curry,"Chicken, Onion, Tomato, Spices",420,12,26,28,Non-Vegetarian,,1 bowl,UP/Bihari,70
Tandoori Roti,Wheat Flour,100,20,3,1,Vegetarian,,1 roti,Punjabi,8
Jeera Rice,"Basmati Rice, Cumin, Ghee",220,40,4,5,Vegetarian,,1 plate,North Indian,20
Boondi Raita,"Curd, Boondi, Spices",150,8,6,8,Vegetarian,,1 bowl,North Indian,15
Vegetable Pulao,"Rice, Vegetables, Spices",280,42,6,10,Vegetarian,,1 plate,North Indian,30
Chana Masala,"Chickpeas, Tomato, Onion, Spices",310,34,12,10,Vegetarian,,1 bowl,North Indian,30
Tandoori Chicken,,250,27,13,3,Non-Vegetarian,,,,180
Chole Bhature,,450,12,15,50,Vegetarian,,,,120
Palak Paneer,,320,14,24,10,Vegetarian,,,,100
Rajma Chawal,,390,13,10,60,Vegetarian,,,,90
Butter Chicken,,450,30,35,10,Non-Vegetarian,,,,150
Mutton Rogan Josh,,480,28,38,8,Non-Vegetarian,,,,180
Paneer Butter Masala,,400,17,33,12,Vegetarian,,,,110
Dal Tadka,,210,10,8,20,Vegetarian,,,,60
Aloo Paratha,,280,5,10,40,Vegetarian,,,,30
Baingan Bharta,,150,4,7,10,Vegetarian,,,,25
Kadhi Pakora,,220,6,14,18,Vegetarian,,,,35
Masoor Dal,,200,9,6,28,Vegetarian,,,,20
Chicken Biryani,,500,24,22,45,Non-Vegetarian,,,,140
Vegetable Biryani,,420,9,15,55,Vegetarian,,,,100
Aloo Gobi,,180,3,8,22,Vegetarian,,,,20
Puri Sabzi,,330,4,18,38,Vegetarian,,,,40
Besan Chilla,,180,7,5,20,Vegetarian,,,,15
Pav Bhaji,,400,8,22,45,Vegetarian,,,,35
Kachori,,300,6,18,30,Vegetarian,,,,25
Litti Chokha,,320,8,15,35,Vegetarian,,,,30
Moong Dal Chilla,,170,9,4,18,Vegetarian,,,,18
Bhindi Masala,,140,3,10,10,Vegetarian,,,,22
Tandoori Roti,,120,3,1,23,Vegetarian,,,,10
Jeera Rice,,210,4,6,35,Vegetarian,,,,18
Paneer Tikka,,280,18,20,8,Vegetarian,,,,90
Methi Thepla,,160,4,8,20,Vegetarian,,,,15
Samosa,,250,4,16,25,Vegetarian,,,,15
Gajar Halwa,,300,5,18,30,Vegetarian,,,,40
Haldi Doodh,,180,6,8,12,Vegetarian,,,,18
Dhokla,,150,5,4,20,Vegetarian,,,,10
Machher Jhol,,,,,,,,,,
Pork jarpaa jurpie,,,,,,,,,,
Chak-Hao Kheer,,,,,,,,,,
Galho,,,,,,,,,,
Achari baingan,,,,,,,,,,
Aloo gobi,,,,,,,,,,
Aloo tikki,,,,,,,,,,
Aloo tuk,,,,,,,,,,
Aloo matar,,,,,,,,,,
Aloo kulcha,,,,,,,,,,
Aloo methi,,,,,,,,,,
Aloo shimla mirch,,,,,,,,,,
Amriti with rabdi,,,,,,,,,,
Talit Macchi (Indian fish fry),,,,,,,,,,
Baati,,,,,,,,,,
Bhatura,,,,,,,,,,
Bhindi masala,,,,,,,,,,
Biryani,,,,,,,,,,
Butter chicken,,,,,,,,,,
Chaat,,,,,,,,,,
Chana masala,,,,,,,,,,
Chapati,,,,,,,,,,
Chicken razala,,,,,,,,,,
Chicken Tikka,,,,,,,,,,
Chicken Tikka masala,,,,,,,,,,
Chole bhature,,,,,,,,,,
Daal baati churma,,,,,,,,,,
Daal puri,,,,,,,,,,
Dal makhani (kali dal),,,,,,,,,,
Dal fara,,,,,,,,,,
Dal,,,,,,,,,,
Dal fry with tadka,,,,,,,,,,
Dum aloo,,,,,,,,,,
Poha,,,,,,,,,,
Fara,,,,,,,,,,
Phirni,,,,,,,,,,
Aloo Phalliyaan,,,,,,,,,,
Gajar Pak,,,,,,,,,,
Gatte ki Sabzi,,,,,,,,,,
Gajar matar aloo,,,,,,,,,,
Gobhi matar,,,,,,,,,,
Imarti,,,,,,,,,,
Hari mutter ka nimona,,,,,,,,,,
Jalebi,,,,,,,,,,
Jaleba,,,,,,,,,,
Kachori,,,,,,,,,,
Kadai paneer,,,,,,,,,,
Kadhi pakoda,,,,,,,,,,
Karela bharta,,,,,,,,,,
Katha meetha petha / kaddu halwa,,,,,,,,,,
Kheer,,,,,,,,,,
Khichdi,,,,,,,,,,
Kadhi and Khichdi,,,,,,,,,,
Kofta,,,,,,,,,,
Kulfi falooda,,,,,,,,,,
Laapsi,,,,,,,,,,
Lauki ke kofte,,,,,,,,,,
Lauki ki bhaaji,,,,,,,,,,
Litti chokha,,,,,,,,,,
Makhaan ka kheer,,,,,,,,,,
"Makki ki roti, sarson ka saag",,,,,,,,,,
Mathura ke pede,,,,,,,,,,
"Methi saag, chaulai saag",,,,,,,,,,
Millet Lapsi,,,,,,,,,,
Mirchi Bada,,,,,,,,,,
Missi roti,,,,,,,,,,
Mixed vegetable,,,,,,,,,,
Moong dal ki Lapsi,,,,,,,,,,
Murgh musallam,,,,,,,,,,
Mushroom do pyaza (Kanda Khumb),,,,,,,,,,
Mushroom matar (Matar Khumb),,,,,,,,,,
Naan,,,,,,,,,,
Navrattan korma,,,,,,,,,,
Pakhala,,,,,,,,,,
Palak paneer,,,,,,,,,,
Paneer butter masala,,,,,,,,,,
Paneer tikka masala,,,,,,,,,,
Pani puri,,,,,,,,,,
Panjeeri,,,,,,,,,,
Papad,,,,,,,,,,
Paratha,,,,,,,,,,
Pattor,,,,,,,,,,
Phirni,,,,,,,,,,
Pinni,,,,,,,,,,
Rajma chaval,,,,,,,,,,
Rajma,,,,,,,,,,
Ramatori bhaaji,,,,,,,,,,
Lobiya,,,,,,,,,,
Samosa,,,,,,,,,,
Samose,,,,,,,,,,
Sattu ki roti,,,,,,,,,,
Rajwadi Chhena/Paneer,,,,,,,,,,
Shahi tukra,,,,,,,,,,
Singhada Lapsi,,,,,,,,,,
Sooji halwa (Suji Lapsi),,,,,,,,,,
Sweet pethas / kesar petha / pista petha,,,,,,,,,,
Vegetable jalfrezi,,,,,,,,,,
Tandoori Chicken,,,,,,,,,,
Tamatar Chaat,,,,,,,,,,
Tandoori Fish Tikka,,,,,,,,,,
Ananas menaskai,,,,,,,,,,
Attu,,,,,,,,,,
Aval kesari,,,,,,,,,,
Avial,,,,,,,,,,
Baida roti,,,,,,,,,,
Halwa,,,,,,,,,,
Bhajji,,,,,,,,,,
Biryani (South Indian style),,,,,,,,,,
Bisi bele bath,,,,,,,,,,
Bonda,,,,,,,,,,
Chettinadu Chicken,,,,,,,,,,
Chicken 65,,,,,,,,,,
Currivepillai sadam,,,,,,,,,,
Dibba rotti,,,,,,,,,,
Dosa,,,,,,,,,,
Double ka meetha,,,,,,,,,,
Ennai kathirikkai,,,,,,,,,,
Goli bajje,,,,,,,,,,
Golichina Mamsam,,,,,,,,,,
Hyderabadi biryani,,,,,,,,,,
Idiyappam,,,,,,,,,,
Idli,,,,,,,,,,
Indian omelette,,,,,,,,,,
Kaara kozhambu,,,,,,,,,,
Kanji,,,,,,,,,,
Keerai koottu,,,,,,,,,,
Keerai masiyal,,,,,,,,,,
