meal_name,ingredients,calories_per_serving,carbs,proteins,fats,diet_type,meal_time,serving_size,region,cost_per_serving_in_inr
Rajma Chawal,"Kidney Beans, Rice, Tomato, Onion, Garlic, Spices",385,60,12,8,Vegetarian,,1 medium plate,Punjabi,40
Chole Bhature,"Chickpeas, Refined Flour, Spices, Onion",450,55,15,18,Vegetarian,,1 plate,Punjabi,50
Aloo Paratha,"Wheat Flour, Potato, Spices, Butter",290,35,6,12,Vegetarian,,1 paratha,Punjabi,25
Palak Paneer,"Spinach, Paneer, Onion, Tomato, Spices",300,14,16,18,Vegetarian,,1 bowl,Punjabi,45
Butter Chicken,"Chicken, Butter, Cream, Tomato, Spices",490,18,28,32,Non-Vegetarian,dinner,1 bowl,Punjabi,80
Baingan Bharta,"Eggplant, Onion, Tomato, Spices",180,15,4,10,Vegetarian,,1 bowl,Punjabi,20
Dal Makhani,"Black Lentils, Cream, Butter, Spices",320,26,14,18,Vegetarian,,1 bowl,Punjabi,35
Paneer Butter Masala,"Paneer, Tomato, Cream, Spices",400,20,14,30,Vegetarian,,1 bowl,Punjabi,60
Kadhi Pakora,"Besan, Curd, Spices, Onion",260,20,8,16,Vegetarian,,1 bowl,Punjabi,30
Pav Bhaji,"Potato, Mixed Vegetables, Butter, Pav",420,45,9,20,Vegetarian,,1 plate,North Indian,40
Litti Chokha,"Wheat Flour, Sattu, Brinjal, Potato, Tomato",360,50,10,12,Vegetarian,,3 littis with chokha,Bihari,25
Samosa,"Refined Flour, Potato, Peas, Spices",150,20,3,8,Vegetarian,breakfast/snacks,1 piece,North Indian,10
Puri Sabzi,"Wheat Flour, Potato, Spices",330,40,5,15,Vegetarian,,4 puris + sabzi,North Indian,35
Kachori Aloo,"Refined Flour, Urad Dal, Potato, Spices",400,45,6,22,Vegetarian,,2 kachori + sabzi,UP/Bihari,30
Chicken Curry,"Chicken, Onion, Tomato, Spices",420,12,26,28,Non-Vegetarian,,1 bowl,UP/Bihari,70
Tandoori Roti,Wheat Flour,100,20,3,1,Vegetarian,,1 roti,Punjabi,8
Jeera Rice,"Basmati Rice, Cumin, Ghee",220,40,4,5,Vegetarian,,1 plate,North Indian,20
Boondi Raita,"Curd, Boondi, Spices",150,8,6,8,Vegetarian,,1 bowl,North Indian,15
Vegetable Pulao,"Rice, Vegetables, Spices",280,42,6,10,Vegetarian,,1 plate,North Indian,30
Chana Masala,"Chickpeas, Tomato, Onion, Spices",310,34,12,10,Vegetarian,,1 bowl,North Indian,30
Tandoori Chicken,"Chicken, Yogurt, Lemon, Ginger, Garlic, Spices",250,27,13,3,Non-Vegetarian,dinner,2 pieces,Punjabi,180
Chole Bhature,"Chickpeas, Bhatura, Spices, Onion, Ginger, Garlic",450,12,15,50,Vegetarian,breakfast/lunch,1 plate,Punjabi,120
Palak Paneer,"Spinach, Paneer, Onion, Tomato, Spices, Cream",320,14,24,10,Vegetarian,,1 bowl,Punjabi,100
Rajma Chawal,"Kidney Beans, Rice, Tomato, Onion, Garlic, Spices",390,13,10,60,Vegetarian,,1 plate,Punjabi,90
Butter Chicken,"Chicken, Butter, Cream, Tomato, Spices, Cashew Nuts",450,30,35,10,Non-Vegetarian,dinner,1 bowl,Punjabi,150
Mutton Rogan Josh,"Mutton, Yogurt, Ginger, Garlic, Kashmiri Chili, Spices",480,28,38,8,Non-Vegetarian,dinner,1 bowl,Kashmiri,180
Paneer Butter Masala,"Paneer, Tomato, Cream, Spices, Butter",400,17,33,12,Vegetarian,,1 bowl,Punjabi,110
Dal Tadka,"Lentils, Tomato, Onion, Garlic, Spices, Ghee",210,10,8,20,Vegetarian,,1 bowl,North Indian,60
Aloo Paratha,"Wheat Flour, Potato, Spices, Butter, Ghee",280,5,10,40,Vegetarian,breakfast,1 paratha,Punjabi,30
Baingan Bharta,"Eggplant, Onion, Tomato, Spices, Mustard Oil",150,4,7,10,Vegetarian,,1 bowl,UP/Bihari,25
Kadhi Pakora,"Besan, Curd, Spices, Onion, Fenugreek Seeds",220,6,14,18,Vegetarian,,1 bowl,North Indian,35
Masoor Dal,"Red Lentils, Tomato, Onion, Garlic, Spices, Ghee",200,9,6,28,Vegetarian,,1 bowl,North Indian,20
Chicken Biryani,"Basmati Rice, Chicken, Yogurt, Ginger, Garlic, Spices",500,24,22,45,Non-Vegetarian,dinner,1 plate,Lucknowi,140
Vegetable Biryani,"Basmati Rice, Mixed Vegetables, Yogurt, Ginger, Garlic, Spices",420,9,15,55,Vegetarian,,1 plate,Lucknowi,100
Aloo Gobi,"Potato, Cauliflower, Onion, Tomato, Spices",180,3,8,22,Vegetarian,,1 bowl,Punjabi,20
Puri Sabzi,"Wheat Flour, Potato, Spices, Oil",330,4,18,38,Vegetarian,,4 puris + sabzi,North Indian,40
Besan Chilla,"Besan, Onion, Tomato, Spices, Coriander",180,7,5,20,Vegetarian,breakfast/snacks,2 chillas,North Indian,15
Pav Bhaji,"Potato, Mixed Vegetables, Butter, Pav, Spices",400,8,22,45,Vegetarian,,1 plate,Maharashtrian,35
Kachori,"Refined Flour, Urad Dal, Spices, Oil",300,6,18,30,Vegetarian,,2 kachoris,Rajasthan,25
Litti Chokha,"Wheat Flour, Sattu, Brinjal, Potato, Tomato, Spices",320,8,15,35,Vegetarian,,3 littis with chokha,Bihari,30
Moong Dal Chilla,"Moong Dal, Onion, Tomato, Spices, Coriander",170,9,4,18,Vegetarian,breakfast/snacks,2 chillas,North Indian,18
Bhindi Masala,"Okra, Onion, Tomato, Spices, Amchur Powder",140,3,10,10,Vegetarian,,1 bowl,North Indian,22
Tandoori Roti,"Wheat Flour, Water, Salt, Ghee",120,3,1,23,Vegetarian,,1 roti,Punjabi,10
Jeera Rice,"Basmati Rice, Cumin Seeds, Ghee, Spices",210,4,6,35,Vegetarian,,1 plate,North Indian,18
Paneer Tikka,"Paneer, Yogurt, Ginger, Garlic, Spices",280,18,20,8,Vegetarian,snacks,6 pieces,Punjabi,90
Methi Thepla,"Wheat Flour, Fenugreek Leaves, Spices, Yogurt",160,4,8,20,Vegetarian,breakfast,2 theplas,Gujarati,15
Samosa,"Refined Flour, Potato, Peas, Spices, Oil",250,4,16,25,Vegetarian,snacks,2 samosas,North Indian,15
Gajar Halwa,"Carrots, Milk, Sugar, Ghee, Cashews, Raisins",300,5,18,30,Vegetarian,dessert,1 bowl,North Indian,40
Haldi Doodh,"Milk, Turmeric, Ginger, Honey, Spices",180,6,8,12,Vegetarian,beverage,1 cup,North Indian,18
Dhokla,"Besan, Semolina, Yogurt, Ginger, Green Chili",150,5,4,20,Vegetarian,breakfast/snacks,4 pieces,Gujarati,10
Machher Jhol,"Fish, Potato, Tomato, Spices",220,10,20,10,Non-Vegetarian,,1 bowl,Bengali,60
Pork jarpaa jurpie,"Pork, Potatoes, Vegetables",300,15,25,15,Non-Vegetarian,,1 plate,Nepalese,80
Chak-Hao Kheer,"Black Rice, Milk, Sugar, Cardamom",250,30,5,10,Vegetarian,dessert,1 bowl,North East,50
Galho,"Rice, Vegetables, Meat, Spices",280,35,15,10,Non-Vegetarian,,1 bowl,North East,70
Achari baingan,"Eggplant, Pickling Spices, Oil",160,12,3,10,Vegetarian,,1 bowl,North Indian,25
Aloo gobi,"Potato, Cauliflower, Spices, Onion, Tomato",150,10,3,8,Vegetarian,,1 bowl,North Indian,20
Aloo tikki,"Potato, Spices, Breadcrumbs",120,15,2,5,Vegetarian,snacks,2 tikkis,North Indian,15
Aloo tuk,"Potato, Spices, Oil",180,20,2,10,Vegetarian,,1 plate,Sindhi,30
Aloo matar,"Potato, Peas, Spices, Onion, Tomato",140,10,3,7,Vegetarian,,1 bowl,North Indian,20
Aloo kulcha,"Potato, Wheat Flour, Spices, Butter",250,30,5,10,Vegetarian,,1 kulcha,Punjabi,30
Aloo methi,"Potato, Fenugreek Leaves, Spices",130,8,3,6,Vegetarian,,1 bowl,North Indian,20
Aloo shimla mirch,"Potato, Capsicum, Spices, Onion, Tomato",140,10,3,7,Vegetarian,,1 bowl,North Indian,20
Amriti with rabdi,"Lentil Flour, Sugar Syrup, Rabdi",350,40,5,20,Vegetarian,dessert,1 plate,North Indian,50
Talit Macchi (Indian fish fry),"Fish, Spices, Semolina",200,5,20,10,Non-Vegetarian,snacks,2 pieces,Goan,70
Baati,"Wheat Flour, Ghee",200,30,5,5,Vegetarian,,1 baati,Rajasthani,20
Bhatura,"Refined Flour, Yogurt, Oil",250,30,5,10,Vegetarian,,1 bhatura,Punjabi,30
Bhindi masala,"Okra, Spices, Onion, Tomato",140,10,3,7,Vegetarian,,1 bowl,North Indian,22
Biryani,"Rice, Meat/Vegetables, Spices",450,40,20,20,Non-Vegetarian/Vegetarian,,1 plate,Mughlai,120
Butter chicken,"Chicken, Butter, Cream, Tomato, Spices",350,15,25,20,Non-Vegetarian,,1 bowl,North Indian,80
